,title,type,eps_count,rate,content_descriptors,seasons_count,series_launch_year,Votes
164,burst angel,series,25,4.0,"العري, التدخين, العنف",1,2022,1048
165,butareba -the story of a man turned into a pig-,series,12,3.8,"تعاطي المخدرات/الكحول, العري, العنف",1,2023,5307
166,by the grace of the gods,series,24,4.7,"الفجور, العنف",2,2022,37997
167,"bye bye, earth",series,15,4.0,"الفجور, العنف الجنسي, العنف",2,2024,12561
168,caligula,series,12,3.6,"الفجور, الصور الجنسية, العنف",1,2018,740
169,campfire cooking in another world with my absurd skill,series,12,4.9,"الفجور, العنف",1,2023,91532
170,can a boy-girl friendship survive?,series,6,4.7,"الفجور, الصور الجنسية, حوار ملمح",1,2025,9598
171,cardfight!! vanguard,series,25,4.0,العنف,1,2018,446
172,cardfight!! vanguard overdress,series,89,3.5,"الفجور, العنف",6,2022,1983
173,case file nº221: kabukicho,series,25,4.2,"الفجور, المحتوى الجنسي, حوار ملمح, العنف",1,2022,573
174,catch me at the ballpark!,series,6,4.6,"تعاطي المخدرات/الكحول, الفجور",1,2025,2978
175,cautious hero: the hero is overpowered but overly cautious,series,12,4.7,"العري, حوار ملمح, العنف",1,2022,30652
176,cestvs -the roman fighter-,series,11,4.0,"الفجور, العنف",1,2021,1251
177,chaika –– أميرة التابوت ––,series,23,4.4,"الدم/القتل, العنف",2,2014,2540
178,chain chronicle - the light of haecceitas -,series,24,4.1,"العري, العنف",2,2017,3348
179,chainsaw man,series,12,4.9,"الدم/القتل, العري, الفجور, التدخين, حوار ملمح, العنف",1,2022,390662
180,chainsaw man festival,series,2,3.8,"الفجور, التدخين, حوار ملمح, العنف",1,2023,392
181,chaos;child,series,14,3.7,"الدم/القتل, الفجور, الصور الجنسية, الانتحار, العنف",1,2017,793
182,cheating craft,series,12,2.9,"الفجور, الصور الجنسية",1,2016,579
183,cherry magic! thirty years of virginity can make you a wizard?!,series,12,4.7,"تعاطي المخدرات/الكحول, المحتوى الجنسي, الصور الجنسية, حوار ملمح",1,2024,30238
184,cherry magic! thirty years of virginity can make you a wizard?! (live-action),series,14,4.6,حوار ملمح,1,2020,6610
185,chihayafuru,series,76,4.7,"الفجور, حوار ملمح",3,2011,6826
186,children of ether,series,1,4.1,العنف,1,2017,402
187,chillin’ in another world with level 2 super cheat powers,series,12,4.7,"الفجور, الصور الجنسية, حوار ملمح, العنف",1,2024,63928
188,chillin' in my 30s after getting fired from the demon king's army,series,12,4.7,"تعاطي المخدرات/الكحول, المحتوى الجنسي, الصور الجنسية, العنف",1,2023,34939
189,chiruran 1/2,series,12,3.5,"تعاطي المخدرات/الكحول, العنف",1,2017,112
190,chitose get you!,series,26,3.9,"تعاطي المخدرات/الكحول, الصور الجنسية",1,2012,446
191,chrono crusade,series,24,4.5,"الدم/القتل, العري, العنف",1,2023,2445
192,chronos ruler,series,13,3.9,"التدخين, العنف",1,2017,1355
193,cinderella chef,series,36,4.2,العنف,3,2025,2861
